Species,ID,Mass,SVL,BL,Arm_Length,Leg_Length,Hand_Area,Foot_Area,Trial,Date,Calibration,Frame_Rate,Decimation,Incline,Speed,Hind_Stride_Length,Fore_Stride_Length,Fore_Duty_Factor,Hind_Duty_Factor,Fore_Stride_Dur,Hind_Stride_Dur,Fore_Stride_Freq,Hind_Stride_Freq,Hand_Spread,Foot_Spread
Aneides aeneus,Aaen21,0.83,3.9,7.8,0.81434106,0.813573142,0.0709,0.11936,Aaen21_45deg03,3/5/24,240305_Calib01,400,1,45,8.230897211,2.143687275,1.990574301,0.872727273,0.836734694,0.275,0.245,3.636363636,4.081632653,91.945,107.047
Aneides aeneus,Aaen21,0.83,3.9,7.8,0.820765489,0.824099791,0.0709,0.11936,Aaen21_45deg04,3/5/24,240305_Calib01,400,1,45,4.342825202,2.112285331,2.022383048,0.89047619,0.883977901,0.525,0.4525,1.904761905,2.209944751,95.422,111.646
Aneides aeneus,Aaen21,0.83,3.9,7.8,0.822902478,0.819422193,0.0709,0.11936,Aaen21_45deg05,3/5/24,240305_Calib01,400,1,45,6.091591619,2.06783014,1.993952773,0.866666667,0.873134328,0.3375,0.335,2.962962963,2.985074627,100.345,116.591
Aneides aeneus,Aaen21,0.86,3.9,7.8,0.793425999,0.815385699,0.0709,0.11936,Aaen21_80deg01,3/4/24,240304_Calib03,400,1,80,3.24116606,2.05644581,1.890817229,0.914893617,0.923664122,0.5875,0.655,1.70212766,1.526717557,100.538,110.567
Aneides aeneus,Aaen21,0.86,3.9,7.8,0.788597772,0.789505027,0.0709,0.11936,Aaen21_80deg02,3/4/24,240304_Calib03,400,1,80,2.223454867,1.868083331,1.909839297,0.945558739,0.945205479,0.8725,0.9125,1.146131805,1.095890411,105.245,112.875
Aneides aeneus,Aaen21,0.86,3.9,7.8,0.790233731,0.826635891,0.0709,0.11936,Aaen21_80deg03,3/4/24,240304_Calib03,400,1,80,2.522407988,1.89607064,1.560345136,0.937728938,0.925531915,0.6825,0.705,1.465201465,1.418439716,95.59,102.912
Aneides aeneus,Aaen21,0.86,3.9,7.8,0.788268164,0.802059877,0.0709,0.11936,Aaen21_80deg04,3/4/24,240304_Calib03,400,1,80,2.281417273,1.988269834,2.080928484,0.906344411,0.936170213,0.8275,0.94,1.208459215,1.063829787,97.686,105.563
Aneides aeneus,Aaen21,0.86,3.9,7.8,0.785685198,0.805879114,0.0709,0.11936,Aaen21_80deg05,3/4/24,240304_Calib03,400,1,80,2.164201652,1.914023952,1.99544057,0.921052632,0.937662338,0.855,0.9625,1.169590643,1.038961039,101.455,118.059
Aneides aeneus,Aaen21,0.83,3.9,7.8,0.8114309,0.827280953,0.0709,0.11936,Aaen21_Flat01,3/5/24,240305_Calib04,400,1,0,4.73532707,1.758816015,1.978507261,0.891891892,0.9,0.37,0.375,2.702702703,2.666666667,97.894,107.52
Aneides aeneus,Aaen21,0.83,3.9,7.8,0.819895291,0.848775115,0.0709,0.11936,Aaen21_Flat02,3/5/24,240305_Calib04,400,1,0,7.618468889,1.913428586,2.112020741,0.865384615,0.803418803,0.26,0.2925,3.846153846,3.418803419,93.981,109.313
Aneides aeneus,Aaen21,0.83,3.9,7.8,0.832183502,0.854855795,0.0709,0.11936,Aaen21_Flat03,3/5/24,240305_Calib04,400,1,0,8.069359688,2.194507085,2.059175313,0.887850467,0.837837838,0.2675,0.2775,3.738317757,3.603603604,105.642,110.372
Aneides aeneus,Aaen21,0.83,3.9,7.8,0.880523731,0.891550955,0.0709,0.11936,Aaen21_Flat04,3/5/24,240305_Calib05,400,1,0,5.433938157,2.172583526,2.175370999,0.881987578,0.884848485,0.4025,0.4125,2.48447205,2.424242424,108.111,112.933
